s,p,d,c,o,id,n,Long,Lat
low,24,2402,2132,KRAK,149190120,CZANIEC-KOBIERNICE,19.227777777777778,49.848333333333336
low,22,2213,294,GDYN,153180010,CZARNA WODA,18.092777777777776,53.84111111111111
low,22,2203,1886,POZN,153160260,CZARNE,16.95111111111111,53.69444444444444
low,30,3002,1887,POZN,152160070,CZARNKÓW,16.554166666666667,52.90833333333333
low,12,1202,2149,KRAK,149200230,CZCHÓW,20.681944444444447,49.81638888888889
low,24,2402,211,KRAK,149190010,CZECHOWICE-BESTWINA,19.030277777777776,49.89138888888889
low,26,2606,234,KRAK,151210090,CZEKARZEWICE,21.68138888888889,51.033055555555556
low,20,2012,64,SOWR,154230030,CZERWONY FOLWARK,23.11722222222222,54.069722222222225
low,02,0201,16,WROC,151150140,DĄBROWA BOLESŁAWIECKA,15.570555555555556,51.325833333333335
low,06,0616,25,KRAK,151210120,DĘBLIN,21.82638888888889,51.562777777777775
low,20,2001,262,SOWR,153220260,DĘBOWO,22.93027777777778,53.609722222222224
low,06,0603,267143,KRAK,151230060,DOROHUSK,23.80777777777778,51.184999999999995
low,32,3202,1888,POZN,153150100,DRAWNO,15.76388888888889,53.217777777777776
lowOutdated,32,3203,1888,POZN,153150120,DRAWSKO POMORSKIE,15.810833333333335,53.526944444444446
low,02,0209,138,WROC,151160050,DUNINO,16.077222222222222,51.15694444444444
low,18,1801,221,KRAK,149220150,DWERNIK,22.63277777777778,49.218611111111116
low,18,1816,223,KRAK,149220040,DYNÓW,22.24416666666667,49.80083333333333
low,10,1009,181,POZN,151180130,DZIAŁOSZYN,18.873333333333335,51.11027777777778
low,20,2002,2616,SOWR,153230010,FASTY,23.026666666666667,53.17861111111111
low,04,0461,293,GDYN,153180020,FORDON,18.17,53.14666666666667
low,20,2010,267145,SOWR,152220050,FRANKOPOL,22.560833333333335,52.415
lowOutdated,10,1020,272,SOWR,151190070,GIECZNO,19.443055555555556,51.996944444444445
low,24,2466,116,WROC,150180220,GLIWICE,18.668333333333333,50.29805555555556
low,24,2410,211,KRAK,149180240,GOCZAŁKOWICE,18.985833333333336,49.931666666666665
low,18,1819,226,KRAK,149210120,GODOWA,21.811666666666667,49.84861111111111
low,32,3216,42,GDYN,153150090,GOLA DOLNA,15.730555555555556,53.749722222222225
low,32,3204,198,POZN,153140090,GOLENIÓW,14.826944444444445,53.56305555555555
low,12,1210,2141,KRAK,149200190,GOŁKOWICE,20.57,49.54972222222222
low,24,2415,114,WROC,149180040,GOŁKOWICE,18.49638888888889,49.92583333333333
low,22,2205,48,GDYN,154180060,GORĘCZYNO,18.16472222222222,54.26361111111111
low,18,1814,226,KRAK,150220060,GORLICZYNA,22.487222222222222,50.08555555555556
low,02,0208,12,WROC,150160100,GORZUCHÓW,16.57111111111111,50.48527777777778
low,06,0604,267142,KRAK,150230070,GOZDÓW,23.807222222222222,50.777499999999996
low,24,2403,211,KRAK,149180120,GÓRKI WIELKIE,18.852500000000003,49.7725
low,04,0462,295,GDYN,153180100,GRUDZIĄDZ,18.74527777777778,53.485
low,12,1210,2149,KRAK,149200310,GRYBÓW,20.945833333333333,49.62388888888889
low,02,0212,166,WROC,151150110,GRYFÓW ŚLĄSKI,15.413055555555555,51.026666666666664
low,14,1417,25,SOWR,151210050,GUSIN,21.254444444444445,51.89277777777778
low,32,3215,1886,POZN,153160200,GWDA WIELKA,16.79361111111111,53.74027777777778
low,18,1812,228,KRAK,150220050,HARASIUKI,22.474166666666665,50.4775
low,18,1821,221,KRAK,149220070,HOCZEW,22.328333333333333,49.42388888888889
low,18,1807,226,KRAK,149210140,ISKRZYNIA,21.864444444444445,49.67722222222222
low,12,1210,2149,KRAK,149200200,JAKUBKOWICE,20.63,49.739444444444445
low,20,2001,64,SOWR,153230120,JAŁOWY RÓG,23.40583333333333,53.9
low,18,1804,225,KRAK,150220100,JAROSŁAW,22.702777777777776,50.02111111111111
low,18,1805,218,KRAK,149210080,JASŁO,21.473055555555554,49.750277777777775
